Atk. Move Type,Def. Pokemon Type,Damage Multiplier,Effectiveness
Normal,Normal,,Normal (100%)
Fire,Normal,,Normal (100%)
Water,Normal,,Normal (100%)
Electric,Normal,,Normal (100%)
Grass,Normal,,Normal (100%)
Ice,Normal,,Normal (100%)
Fighting,Normal,2,Super-effective (200%)
Poison,Normal,,Normal (100%)
Ground,Normal,,Normal (100%)
Flying,Normal,,Normal (100%)
Psychic,Normal,,Normal (100%)
Bug,Normal,,Normal (100%)
Rock,Normal,,Normal (100%)
Ghost,Normal,0,No effect (0%)
Dragon,Normal,,Normal (100%)
Dark,Normal,,Normal (100%)
Steel,Normal,,Normal (100%)
Fairy,Normal,,Normal (100%)
Normal,Fire,,Normal (100%)
Fire,Fire,½,Not very effective (50%)
Water,Fire,2,Super-effective (200%)
Electric,Fire,,Normal (100%)
Grass,Fire,½,Not very effective (50%)
Ice,Fire,½,Not very effective (50%)
Fighting,Fire,,Normal (100%)
Poison,Fire,,Normal (100%)
Ground,Fire,2,Super-effective (200%)
Flying,Fire,,Normal (100%)
Psychic,Fire,,Normal (100%)
Bug,Fire,½,Not very effective (50%)
Rock,Fire,2,Super-effective (200%)
Ghost,Fire,,Normal (100%)
Dragon,Fire,,Normal (100%)
Dark,Fire,,Normal (100%)
Steel,Fire,½,Not very effective (50%)
Fairy,Fire,½,Not very effective (50%)
Normal,Water,,Normal (100%)
Fire,Water,½,Not very effective (50%)
Water,Water,½,Not very effective (50%)
Electric,Water,2,Super-effective (200%)
Grass,Water,2,Super-effective (200%)
Ice,Water,½,Not very effective (50%)
Fighting,Water,,Normal (100%)
Poison,Water,,Normal (100%)
Ground,Water,,Normal (100%)
Flying,Water,,Normal (100%)
Psychic,Water,,Normal (100%)
Bug,Water,,Normal (100%)
Rock,Water,,Normal (100%)
Ghost,Water,,Normal (100%)
Dragon,Water,,Normal (100%)
Dark,Water,,Normal (100%)
Steel,Water,½,Not very effective (50%)
Fairy,Water,,Normal (100%)
Normal,Electric,,Normal (100%)
Fire,Electric,,Normal (100%)
Water,Electric,,Normal (100%)
Electric,Electric,½,Not very effective (50%)
Grass,Electric,,Normal (100%)
Ice,Electric,,Normal (100%)
Fighting,Electric,,Normal (100%)
Poison,Electric,,Normal (100%)
Ground,Electric,2,Super-effective (200%)
Flying,Electric,½,Not very effective (50%)
Psychic,Electric,,Normal (100%)
Bug,Electric,,Normal (100%)
Rock,Electric,,Normal (100%)
Ghost,Electric,,Normal (100%)
Dragon,Electric,,Normal (100%)
Dark,Electric,,Normal (100%)
Steel,Electric,½,Not very effective (50%)
Fairy,Electric,,Normal (100%)
Normal,Grass,,Normal (100%)
Fire,Grass,2,Super-effective (200%)
Water,Grass,½,Not very effective (50%)
Electric,Grass,½,Not very effective (50%)
Grass,Grass,½,Not very effective (50%)
Ice,Grass,2,Super-effective (200%)
Fighting,Grass,,Normal (100%)
Poison,Grass,2,Super-effective (200%)
Ground,Grass,½,Not very effective (50%)
Flying,Grass,2,Super-effective (200%)
Psychic,Grass,,Normal (100%)
Bug,Grass,2,Super-effective (200%)
Rock,Grass,,Normal (100%)
Ghost,Grass,,Normal (100%)
Dragon,Grass,,Normal (100%)
Dark,Grass,,Normal (100%)
Steel,Grass,,Normal (100%)
Fairy,Grass,,Normal (100%)
Normal,Ice,,Normal (100%)
Fire,Ice,2,Super-effective (200%)
Water,Ice,,Normal (100%)
Electric,Ice,,Normal (100%)
Grass,Ice,,Normal (100%)
Ice,Ice,½,Not very effective (50%)
Fighting,Ice,2,Super-effective (200%)
Poison,Ice,,Normal (100%)
Ground,Ice,,Normal (100%)
Flying,Ice,,Normal (100%)
Psychic,Ice,,Normal (100%)
Bug,Ice,,Normal (100%)
Rock,Ice,2,Super-effective (200%)
Ghost,Ice,,Normal (100%)
Dragon,Ice,,Normal (100%)
Dark,Ice,,Normal (100%)
Steel,Ice,2,Super-effective (200%)
Fairy,Ice,,Normal (100%)
Normal,Fighting,,Normal (100%)
Fire,Fighting,,Normal (100%)
Water,Fighting,,Normal (100%)
Electric,Fighting,,Normal (100%)
Grass,Fighting,,Normal (100%)
Ice,Fighting,,Normal (100%)
Fighting,Fighting,,Normal (100%)
Poison,Fighting,,Normal (100%)
Ground,Fighting,,Normal (100%)
Flying,Fighting,2,Super-effective (200%)
Psychic,Fighting,2,Super-effective (200%)
Bug,Fighting,½,Not very effective (50%)
Rock,Fighting,½,Not very effective (50%)
Ghost,Fighting,,Normal (100%)
Dragon,Fighting,,Normal (100%)
Dark,Fighting,½,Not very effective (50%)
Steel,Fighting,,Normal (100%)
Fairy,Fighting,2,Super-effective (200%)
Normal,Poison,,Normal (100%)
Fire,Poison,,Normal (100%)
Water,Poison,,Normal (100%)
Electric,Poison,,Normal (100%)
Grass,Poison,½,Not very effective (50%)
Ice,Poison,,Normal (100%)
Fighting,Poison,½,Not very effective (50%)
Poison,Poison,½,Not very effective (50%)
Ground,Poison,2,Super-effective (200%)
Flying,Poison,,Normal (100%)
Psychic,Poison,2,Super-effective (200%)
Bug,Poison,½,Not very effective (50%)
Rock,Poison,,Normal (100%)
Ghost,Poison,,Normal (100%)
Dragon,Poison,,Normal (100%)
Dark,Poison,,Normal (100%)
Steel,Poison,,Normal (100%)
Fairy,Poison,½,Not very effective (50%)
Normal,Ground,,Normal (100%)
Fire,Ground,,Normal (100%)
Water,Ground,2,Super-effective (200%)
Electric,Ground,0,Normal (100%)
Grass,Ground,2,Super-effective (200%)
Ice,Ground,2,Super-effective (200%)
Fighting,Ground,,Normal (100%)
Poison,Ground,½,Not very effective (50%)
Ground,Ground,,Normal (100%)
Flying,Ground,,Normal (100%)
Psychic,Ground,,Normal (100%)
Bug,Ground,,Normal (100%)
Rock,Ground,½,Not very effective (50%)
Ghost,Ground,,Normal (100%)
Dragon,Ground,,Normal (100%)
Dark,Ground,,Normal (100%)
Steel,Ground,,Normal (100%)
Fairy,Ground,,Normal (100%)
Normal,Flying,,Normal (100%)
Fire,Flying,,Normal (100%)
Water,Flying,,Normal (100%)
Electric,Flying,2,Super-effective (200%)
Grass,Flying,½,Not very effective (50%)
Ice,Flying,2,Super-effective (200%)
Fighting,Flying,½,Not very effective (50%)
Poison,Flying,,Normal (100%)
Ground,Flying,0,Normal (100%)
Flying,Flying,,Normal (100%)
Psychic,Flying,,Normal (100%)
Bug,Flying,½,Not very effective (50%)
Rock,Flying,2,Super-effective (200%)
Ghost,Flying,,Normal (100%)
Dragon,Flying,,Normal (100%)
Dark,Flying,,Normal (100%)
Steel,Flying,,Normal (100%)
Fairy,Flying,,Normal (100%)
Normal,Psychic,,Normal (100%)
Fire,Psychic,,Normal (100%)
Water,Psychic,,Normal (100%)
Electric,Psychic,,Normal (100%)
Grass,Psychic,,Normal (100%)
Ice,Psychic,,Normal (100%)
Fighting,Psychic,½,Not very effective (50%)
Poison,Psychic,,Normal (100%)
Ground,Psychic,,Normal (100%)
Flying,Psychic,,Normal (100%)
Psychic,Psychic,½,Not very effective (50%)
Bug,Psychic,2,Super-effective (200%)
Rock,Psychic,,Normal (100%)
Ghost,Psychic,2,Super-effective (200%)
Dragon,Psychic,,Normal (100%)
Dark,Psychic,2,Super-effective (200%)
Steel,Psychic,,Normal (100%)
Fairy,Psychic,,Normal (100%)
Normal,Bug,,Normal (100%)
Fire,Bug,2,Super-effective (200%)
Water,Bug,,Normal (100%)
Electric,Bug,,Normal (100%)
Grass,Bug,½,Not very effective (50%)
Ice,Bug,,Normal (100%)
Fighting,Bug,½,Not very effective (50%)
Poison,Bug,,Normal (100%)
Ground,Bug,½,Not very effective (50%)
Flying,Bug,2,Super-effective (200%)
Psychic,Bug,,Normal (100%)
Bug,Bug,,Normal (100%)
Rock,Bug,2,Super-effective (200%)
Ghost,Bug,,Normal (100%)
Dragon,Bug,,Normal (100%)
Dark,Bug,,Normal (100%)
Steel,Bug,,Normal (100%)
Fairy,Bug,,Normal (100%)
Normal,Rock,½,Not very effective (50%)
Fire,Rock,½,Not very effective (50%)
Water,Rock,2,Super-effective (200%)
Electric,Rock,,Normal (100%)
Grass,Rock,2,Super-effective (200%)
Ice,Rock,,Normal (100%)
Fighting,Rock,2,Super-effective (200%)
Poison,Rock,½,Not very effective (50%)
Ground,Rock,2,Super-effective (200%)
Flying,Rock,½,Not very effective (50%)
Psychic,Rock,,Normal (100%)
Bug,Rock,,Normal (100%)
Rock,Rock,,Normal (100%)
Ghost,Rock,,Normal (100%)
Dragon,Rock,,Normal (100%)
Dark,Rock,,Normal (100%)
Steel,Rock,2,Super-effective (200%)
Fairy,Rock,,Normal (100%)
Normal,Ghost,0,Normal (100%)
Fire,Ghost,,Normal (100%)
Water,Ghost,,Normal (100%)
Electric,Ghost,,Normal (100%)
Grass,Ghost,,Normal (100%)
Ice,Ghost,,Normal (100%)
Fighting,Ghost,0,Normal (100%)
Poison,Ghost,½,Not very effective (50%)
Ground,Ghost,,Normal (100%)
Flying,Ghost,,Normal (100%)
Psychic,Ghost,,Normal (100%)
Bug,Ghost,½,Not very effective (50%)
Rock,Ghost,,Normal (100%)
Ghost,Ghost,2,Super-effective (200%)
Dragon,Ghost,,Normal (100%)
Dark,Ghost,2,Super-effective (200%)
Steel,Ghost,,Normal (100%)
Fairy,Ghost,,Normal (100%)
Normal,Dragon,,Normal (100%)
Fire,Dragon,½,Not very effective (50%)
Water,Dragon,½,Not very effective (50%)
Electric,Dragon,½,Not very effective (50%)
Grass,Dragon,½,Not very effective (50%)
Ice,Dragon,2,Super-effective (200%)
Fighting,Dragon,,Normal (100%)
Poison,Dragon,,Normal (100%)
Ground,Dragon,,Normal (100%)
Flying,Dragon,,Normal (100%)
Psychic,Dragon,,Normal (100%)
Bug,Dragon,,Normal (100%)
Rock,Dragon,,Normal (100%)
Ghost,Dragon,,Normal (100%)
Dragon,Dragon,2,Super-effective (200%)
Dark,Dragon,,Normal (100%)
Steel,Dragon,,Normal (100%)
Fairy,Dragon,2,Super-effective (200%)
Normal,Dark,,Normal (100%)
Fire,Dark,,Normal (100%)
Water,Dark,,Normal (100%)
Electric,Dark,,Normal (100%)
Grass,Dark,,Normal (100%)
Ice,Dark,,Normal (100%)
Fighting,Dark,2,Super-effective (200%)
Poison,Dark,,Normal (100%)
Ground,Dark,,Normal (100%)
Flying,Dark,,Normal (100%)
Psychic,Dark,0,Normal (100%)
Bug,Dark,2,Super-effective (200%)
Rock,Dark,,Normal (100%)
Ghost,Dark,½,Not very effective (50%)
Dragon,Dark,,Normal (100%)
Dark,Dark,½,Not very effective (50%)
Steel,Dark,,Normal (100%)
Fairy,Dark,2,Super-effective (200%)
Normal,Steel,½,Not very effective (50%)
Fire,Steel,2,Super-effective (200%)
Water,Steel,,Normal (100%)
Electric,Steel,,Normal (100%)
Grass,Steel,½,Not very effective (50%)
Ice,Steel,½,Not very effective (50%)
Fighting,Steel,2,Super-effective (200%)
Poison,Steel,0,Normal (100%)
Ground,Steel,2,Super-effective (200%)
Flying,Steel,½,Not very effective (50%)
Psychic,Steel,½,Not very effective (50%)
Bug,Steel,½,Not very effective (50%)
Rock,Steel,½,Not very effective (50%)
Ghost,Steel,,Normal (100%)
Dragon,Steel,½,Not very effective (50%)
Dark,Steel,,Normal (100%)
Steel,Steel,½,Not very effective (50%)
Fairy,Steel,½,Not very effective (50%)
Normal,Fairy,,Normal (100%)
Fire,Fairy,,Normal (100%)
Water,Fairy,,Normal (100%)
Electric,Fairy,,Normal (100%)
Grass,Fairy,,Normal (100%)
Ice,Fairy,,Normal (100%)
Fighting,Fairy,½,Not very effective (50%)
Poison,Fairy,2,Super-effective (200%)
Ground,Fairy,,Normal (100%)
Flying,Fairy,,Normal (100%)
Psychic,Fairy,,Normal (100%)
Bug,Fairy,½,Not very effective (50%)
Rock,Fairy,,Normal (100%)
Ghost,Fairy,,Normal (100%)
Dragon,Fairy,0,Normal (100%)
Dark,Fairy,½,Not very effective (50%)
Steel,Fairy,2,Super-effective (200%)
Fairy,Fairy,,Normal (100%)
